Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLG030421;"2021. 05. 25.";'E5881';"Nem szeretne nyilatkozni!";"Bányás Tímeával beszéltem, de nem Õ járt a szervizben hanem a Göcsei úr, de Õ most nagyon elfoglalt nem ér rá! A hölgy azt mondta, hogy a jövõ héten kedden úgy is megy a szervizbe és akkor utána nyilatkozni fog!!"
NMLG030411;"2021. 05. 25.";'E6632';"Sikeres hívás, kérdõív kitöltve.";"A 2. kérdéshez: amennyiben egy hetes idõn belül tudnak idõpontot adni!!"
NMLM106447;"2021. 05. 25.";'B3002';"Nem szeretne nyilatkozni!";"Dolgozónk M3-on!!!"
NMLG030383;"2021. 05. 25.";'C0506';"Sikeres hívás, kérdõív kitöltve.";"A pandémia miatt két hónappal késõbb vitte és elvesztette a garanciát, hol ott mindenhol kedvezményeket adtak ebben az idõben, és pont ezért vitte ide az autót, mert nálunk is vette!!"
NMLZ113882;"2021. 05. 25.";'B1332';"Sikeres hívás, kérdõív kitöltve.";"Azt jelezné,hogy volt egy régi ügy amire a mai napig nincs megoldás. Aki ígérte kolléga  az már nem dolgozik a Gablini cégnél !!"
NMLM106437;"2021. 05. 25.";'M1522';"Sikeres hívás, kérdõív kitöltve.";"Kicsi össze-visszaság volt, az átalakítás miatt!!"
NMBO089296;"2021. 05. 25.";'M1023';"Sikeres hívás, kérdõív kitöltve.";"Egy apróság: karbantartási szerzõdése van és a fékbetétre nem vonatkozik ez, pedig 4 évvel ezelõtt a volt kollégánk azt mondta, hogy igen!!!"
NMBO089239;"2021. 05. 25.";'J7936';"Sikeres hívás, kérdõív kitöltve.";"Sajnos a hozom viszem nem történt meg ! Most  itt minden rendben volt !  <br />
A Gablini urat  üdvözli !!"
NMLM106490;"2021. 05. 25.";'B4189';"Nem szeretne nyilatkozni!";"Ez a telefonszám 05.20. óta csak csörög, így elérhetetlen!"
NMLM106458;"2021. 05. 26.";'A9401';"Sikeres hívás, kérdõív kitöltve.";"Garanciális engedélyre vár még !!"
NMBO089270;"2021. 05. 26.";'K3156';"Nem szeretne nyilatkozni!";"A javítás folyamatban klíma kompresszor csere lesz !"
NMLG030399;"2021. 05. 26.";'E6105';"Sikeres hívás, kérdõív kitöltve.";"Vár még vissza hívást  a külsõ ajtó kilincsel kapcsolatban !!"
NMLM106492;"2021. 05. 26.";'A9433';"Sikeres hívás, kérdõív kitöltve.";"A szerviztõl picit több rugalmasságot várt volna el !!"
NMBO089257;"2021. 05. 26.";'M1392';"Sikeres hívás, kérdõív kitöltve.";"Azt hitte, hogy garanciában megcsinálják, újra tanították de igazából nem tudták, hogy miért csinálta ezt, és azt gondolta hogy ez garanciában megy!! A 2. kérdésnél a szerviz-szolg.:10-es, a m.felvevõ:5-ös!!"
NMBO089164;"2021. 05. 26.";'M1365';"Sikeres hívás, kérdõív kitöltve.";"Hibajelzés miatt kellett visszatérni, de nem az elvégzett szervizzel összefüggõ a hibajelzés jelentkezett, kivizsgálás alatt van az autó most is a szervizben!!!"
NMBO089319;"2021. 05. 26.";'J3545';"Sikeres hívás, kérdõív kitöltve.";"A szerviz tökéletes csak így tovább !!"
NMBO084473;"2021. 05. 26.";'J6571';"Sikeres hívás, kérdõív kitöltve.";"Az alkatrész ellátottság a borzasztó,  a szervizzel és a munkafelvevõvel elégedett. Az alkatrész beszerzéssel nem elégedett, még most is hiányzik alkatrész majd megy vissza!!"
NMBO089343;"2021. 05. 26.";'J8908';"Sikeres hívás, kérdõív kitöltve.";"Mikor bejelentette az autót kapott  egy várható javítási összeget . A m.felvevevõhõz ért ez már több lett !!  Másik észrevétele az a határidõ volt amiben szintén hosszabb lett mint amit ígértek !!"
NMLZ112771;"2021. 05. 26.";'M1407';"Nem szeretne nyilatkozni!";"Április óta amikor beszéltünk nem is járt a szervizben és ezt az autót eladta nálunk!!"
NMBO089361;"2021. 05. 26.";'K2913';"Sikeres hívás, kérdõív kitöltve.";"A hölgy kérte ha lehet az autót vigyék neki haza de ebben a szerviz péntekre hivatkozva nem volt segítõ kész ! A másik észrevétele ,hogy a 150-ezres javításba a belsõ takarítás nem fért bele !!"
NMLZ113960;"2021. 05. 26.";'B3174';"Sikeres hívás, kérdõív kitöltve.";"Csak pici apróbb hibák voltak !!"
NMLM106454;"2021. 05. 26.";'R0699';"Sikeres hívás, kérdõív kitöltve.";"Régóta mondja, hogy a vállalási idõ nagyon hosszú, most csak 2 óra volt(ez már jobb volt, mint a múltkori), de ezen lehetne még javítani!!"
NMLZ113809;"2021. 05. 26.";'S6276';"Sikeres hívás, kérdõív kitöltve.";"Olyan munkát is felírt a munkalapra amit nem kért !!"
NMLM106442;"2021. 05. 26.";'R1278';"Sikeres hívás, kérdõív kitöltve.";"A kereskedõre haragszik, mert nem kapott semmi visszajelzést(gumicsere,csomagtér tálca), de nagyon jó kereskedõ, de az autókhoz mûszakilag nem ért! A Kretz Balázst aztán felhívta, és minden rendben volt a szervizben(két autóval járnak hozzánk)!!!"
NMBO089315;"2021. 05. 26.";'K5167';"Sikeres hívás, kérdõív kitöltve.";"Nagyon kedves dolog volt, hogy kiment elé, ez nagyon kedves gesztus volt! Árajánlatot kapott mindenféle más dologra, amennyiben szüksége lesz rá, és ez is nagyon jólesett számára!!!"
NMLG030347;"2021. 05. 26.";'B2582';"Sikeres hívás, kérdõív kitöltve.";"Az alkatrészben javulhatna az importõr !! Nagyon sokat kell rá várni."
NMLZ113799;"2021. 05. 26.";'Q1045';"Nem szeretne nyilatkozni!";"Már többször jelezte,hogy nem õ jár ezzel az autóval és mindig õt hívjuk !!!!"
NMLM105700;"2021. 05. 26.";'S2388';"Nem szeretne nyilatkozni!";"Ez a telefonszám a flottakezelõé, de pont ezzel az autóval voltak problémák, és azt mondta, hogy nem nyilatkozik!!"
NMLG030417;"2021. 05. 26.";'E5397';"Sikeres hívás, kérdõív kitöltve.";"Rendben zajlott minden !!"
NMLM106422;"2021. 05. 26.";'B1566';"Sikeres hívás, kérdõív kitöltve.";"A jelzett 2-óra javításból  a duplája lett ! Ami azért baj  mert három és fél óránál jelezte ezt a munkafelvevõ .Ez volt az igazi oka !!"
NMLZ113963;"2021. 05. 26.";'I6510';"Sikeres hívás, kérdõív kitöltve.";"Nagyon szépen köszöni a kollégák munkáját tökéletes volt !!"
NMLZ114006;"2021. 05. 27.";'T2160';"Sikeres hívás, kérdõív kitöltve.";"Az autóval nincsenek megelégedve a motor ehez a típushoz kevés. A kollega munkájával maximálisan elégedett !!"
NMLZ113969;"2021. 05. 27.";'T1525';"Nem szeretne nyilatkozni!";"Sajnos nem volt javítás csak ismételten hiba megállapítás !!"
NMLZ113680;"2021. 05. 27.";'T2183';"Nem szeretne nyilatkozni!";"Jövõhetén lesz egy nagyobb munka utána majd értékel !!"
NMLG030363;"2021. 05. 27.";'C1107';"Nem szeretne nyilatkozni!";"Ez a telefonszám 05.21. óta csak csörög, így elérhetetlen!!"
NMLG030372;"2021. 05. 27.";'E2699';"Nem szeretne nyilatkozni!";"Ezen a telefonszámon 05.25. óta csak hangposta jelentkezik!!"
NMLG030415;"2021. 05. 27.";'E6450';"Sikeres hívás, kérdõív kitöltve.";"Azért lett 8-as, mert az idõ egy kicsit megcsúszott, kb. 3/4óra és ennek a duplája lett! Amennyiben ezt elõre tudja akkor másképp szervezi a napját!!"
NMLG030433;"2021. 05. 27.";'E6640';"Sikeres hívás, kérdõív kitöltve.";"Korrekt volt minden!!"
NMLG030442;"2021. 05. 27.";'E6642';"Sikeres hívás, kérdõív kitöltve.";"Nincs ilyen autója, azért nem tudja ezt a szervizt ajánlani, csak bevitte ezt az autót erre a vizsgálatra, minden szolgáltatással elégedett volt!!       "
NMLZ113957;"2021. 05. 27.";'S4793';"Sikeres hívás, kérdõív kitöltve.";"Tökéletes a szerviz !!"
NMBO089249;"2021. 05. 27.";'M0706';"Nem szeretne nyilatkozni!";"Ezen a számon vagy hangposta, vagy csörgetés közben kinyom 05.25.óta!!"
NMLM106541;"2021. 05. 27.";'A4847';"Sikeres hívás, kérdõív kitöltve.";"Nagyon korrektek voltak!!"
NMLM106534;"2021. 05. 27.";'B5217';"Sikeres hívás, kérdõív kitöltve.";"Az úr azt hitte, hogy az átutalás miatt keresem, és azt mondta, ma vagy holnap utalják a pénzt!!"
NMLZ113833;"2021. 05. 27.";'T2269';"Nem szeretne nyilatkozni!";"Ez az ügyfél kétszer kért idõre visszahívást, mi hívtuk, de Õ kinyomott!!"
NMLM106542;"2021. 05. 27.";'B5321';"Sikeres hívás, kérdõív kitöltve.";"Nagyon gyorsan ment minden!!"
NMLM106529;"2021. 05. 27.";'R1153';"Sikeres hívás, kérdõív kitöltve.";"Már az e-mailben kapott kérdõívet is kitöltötte!!"
NMLM106567;"2021. 05. 27.";'A2270';"Sikeres hívás, kérdõív kitöltve.";"A számlán az van, hogy 3. éves de még csak 2. éves!! Most ezzel a szerviz-látogatásával nem volt gondja!!"
NMLM106570;"2021. 05. 27.";'J2975';"Nem szeretne nyilatkozni!";"Köszöni az érdeklõdést, de jobb ha nem mond semmit!!"
NMLM106547;"2021. 05. 27.";'A3948';"Nem szeretne nyilatkozni!";"A hölgy 05.26-án 16:30-ra kért visszahívást, de nem vette fel, és a mai napon sem!!"
NMLM106593;"2021. 05. 27.";'R1209';"Sikeres hívás, kérdõív kitöltve.";"Amikor telefonált, azt mondták, hogy ingyenes mosás is jár, de nem valósult meg, de ettõl függetlenül mindennel megvolt elégedve!! Azért legközelebb is ide fog jönni!!!"
NMBO089363;"2021. 05. 27.";'K2862';"Sikeres hívás, kérdõív kitöltve.";"Az árak magasak pl: az Opelhez képest."
NMLM106528;"2021. 05. 27.";'65271';"Nem szeretne nyilatkozni!";"Ezen a számon egy hölgy jelentkezik, és elmondta, hogy mindig Õt keresik pedig neki nincs ilyen autója!! Kitöröltem a számot, nem tudom, hogy a progress megjegyzi-e? Próbáltuk hívni 20-as és 70-es elõválasztóval, de úgy sem volt jó(20-as:elfizetõ nem kapc"
NMLZ111915;"2021. 05. 27.";'92554';"Nem szeretne nyilatkozni!";"Ez a telefonszám 05.25. óta csak csörög, így elérhetetlen illetve a 2. mobilon a régi tulajdonos vette fel!!"
NMLZ114015;"2021. 05. 27.";'Q5236';"Sikeres hívás, kérdõív kitöltve.";"Az elõzõ munkánál jó lett volna egy klíma tisztítás ! most kérne ilyet akkor feleslegesen cseréltünk pollen szûrõt !!"
NMLZ113867;"2021. 05. 27.";'P6080';"Sikeres hívás, kérdõív kitöltve.";"Maximálisan rendben volt minden "
NMBO089289;"2021. 05. 28.";'J9464';"Nem szeretne nyilatkozni!";"Ez a telefonszám 05.25. óta csak csörög, így elérhetetlen!"
NMBO088624;"2021. 05. 28.";'J9946';"Nem szeretne nyilatkozni!";"Ez a telefonszám 05.25. óta csak csörög, így elérhetetlen!"
NMLZ113906;"2021. 05. 28.";'Q3691';"Sikeres hívás, kérdõív kitöltve.";"Itt az éves szerviznél minden rendben  volt ! Amit jelezne,hogy a kollégák egymás között jobban kommunikálhatnának !!"
NMLZ113734;"2021. 05. 28.";'T2287';"Sikeres hívás, kérdõív kitöltve.";"A kommunikációban javulhatnánk. Szerencsére nem az volt a hiba amire elsõre gondolt a szerviz !!"
NMLM105022;"2021. 05. 28.";'B5760';"Sikeres hívás, kérdõív kitöltve.";"Isteni volt minden!! Megõrzi a munkafelvevõ telefonszámát!!"
NMBO089418;"2021. 05. 28.";'K3857';"Sikeres hívás, kérdõív kitöltve.";"A várónál az LCD kijelzõ nem mûködött csak ennyi !!"
NMLZ112383;"2021. 05. 28.";'T2281';"Sikeres hívás, kérdõív kitöltve.";"Az alkatrész elsõ alkalomkor nem volt meg . "
NMBO089380;"2021. 05. 28.";'M1291';"Nem szeretne nyilatkozni!";"Nagyon tetszik ez az egész dolog, de tavaly és idén is elmondta a szervizvezetõnek, hogy a feleségének nem mondták, hogy le vágták a biztonsági zárát a kerékõrt, és ezt nem magyarázták el, hogy miért? Soha nem hívták vissza, hogy ez miért csinálták?!! Egy"
NMBO089430;"2021. 05. 28.";'K5183';"Sikeres hívás, kérdõív kitöltve.";"Nagyon tetszik, hogy rugalmas volt a kolléga, mivel felszabadult idõpontról informálta, ez egy szuper dolog!! A pénztáros kolléganõ lehetne egy kicsit kedvesebb az ügyfelekkel, a recepciós hölggyel, és a munkafelvevõvel viszont nagyon megvolt elégedve!!"
NMLG030426;"2021. 05. 28.";'E6637';"Nem szeretne nyilatkozni!";"Ez a telefonszám 05.25. óta csak csörög, így elérhetetlen(a mai napon felvette, de még egy valaki volt a vonalban és az ügyfél azt mondta, hogy ""szaggat"" és letette, de aztán ismét hívtam és nem vette fel)!!"
NMLM106538;"2021. 05. 28.";'B5967';"Sikeres hívás, kérdõív kitöltve.";"Kicsit hosszúra nyúlt, 2,5 óra lett másfél óra helyett, nem mosták le az autót!! Azért kell visszamennie, mert nem szóltak elõre, hogy van kampány és az autó töltõjét nem vitte magával!! "
NMLZ114047;"2021. 05. 28.";'T2293';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nem volt elégedett. A szervizbe nem mehetett be írásos papírt nem kapott,hogy mit csináltak az autón. Azt tapasztalja,hogy többet lehet vele menni. Elég hideg volt  a m.felvevõ kolléga nem érezte rajta azt a pluszt amit elvárt volna! Folyamatosan telefonált nem szolt hozzá ."
NMLM106363;"2021. 05. 28.";'B3374';"Sikeres hívás, kérdõív kitöltve.";"Az autót koszosan kapta vissza! <br />
Amikor elkészült nem telefonáltak õ hívta a szervizt,hogy mi van !! Ez most a tavalyihoz képest gyengébb volt"
NMLZ113322;"2021. 05. 28.";'T2189';"Sikeres hívás, kérdõív kitöltve.";"Eddig minden negativ  várja a szerviztõl a hívást  csak a baj és rossz!<br />
Az autó nálunk van !!!!"
NMLM106557;"2021. 05. 28.";'T1808';"Sikeres hívás, kérdõív kitöltve.";"Tavaly volt Zuglóban karosszéria javítás után a belsõ takarítás közben a kesztyû-tartó alatt lett egy hosszú karcolás!! Ezt akkor vette észre amikor otthon az autót újra kitakarította, mert pocsék munkát végeztek! Ezt a karcolást a szerviz nem ismerte el sajnos!! Itt most az M3-on nem volt semmi gond és a továbbiakban is ide az M3-ra szeretne jönni szervizbe!!"
