Munkalapszám;Dátum;"Progress kód";Állapot;Megjegyzés
NMLM111404;"2021. 11. 29.";'A9827';"Sikeres hívás, kérdõív kitöltve.";"Amennyiben egy hibára nem tud mondani semmit a szerviz(konstrukciós hiba), és lejárt a garancia és nem lehet  javítani, akkor ez nem barátságos, nem ügyfélbarát hozzáállás!!"
NMLZ117537;"2021. 11. 29.";'66442';"Sikeres hívás, kérdõív kitöltve.";"A munkafelvevõ úriemberrel nincs megelégedve, elmegy úgy szabadságra, hogy nincs kész az autó!! Kimondottan a munkafelvevõvel nem volt elégedett!!!"
NMLZ117218;"2021. 11. 29.";'66442';"Sikeres hívás, kérdõív kitöltve.";"A munkafelvevõ úriemberrel nincs megelégedve, elmegy úgy szabadságra, hogy nincs kész az autó!! Kimondottan a munkafelvevõvel nem volt elégedett!!!"
NMLZ116810;"2021. 11. 29.";'T2661';"Nem szeretne nyilatkozni!";"Visszahívtam az ügyfelet a megbeszélt idõben, de már csak hangposta jelentkezett!"
NMLZ117510;"2021. 11. 29.";'T2752';"Sikeres hívás, kérdõív kitöltve.";"Annak ellenére, hogy idõre mentek 3 órás csúszás volt sajnos!!"
NMLM111215;"2021. 11. 30.";'01862';"Sikeres hívás, kérdõív kitöltve.";"Ez a modell nem jött be!!"
NMLM111436;"2021. 11. 30.";'66273';"Sikeres hívás, kérdõív kitöltve.";"A zuglói szervizünket semmiképpen nem ajánlaná, de az M3-t igen!!"
NMLZ117500;"2021. 11. 30.";'S4729';"Nem szeretne nyilatkozni!";"A hölgy visszahívást kért ma délelõttre, de nem vette fel!!"
NMLZ117518;"2021. 11. 30.";'P6732';"Nem szeretne nyilatkozni!";"""A hívott szám az elõfizetõ kérésére nem kapcsolható"" már két napja!!"
NMLZ117544;"2021. 11. 30.";'T2758';"Nem szeretne nyilatkozni!";"Itt csak egy állapotfelmérés volt, megrendelték az alkatrészt, és majd az elvégzett munka után értékel!!"
NMBO093047;"2021. 11. 30.";'60911';"Sikeres hívás, kérdõív kitöltve.";"Nagyon sokat kellett várni, félóráig zajlott a papírok intézése, és a kiadásnál is ugyanez volt a helyzet!!"
NMBO093041;"2021. 11. 30.";'U0033';"Sikeres hívás, kérdõív kitöltve.";"Látja, hogy a munkafelvevõ leterhelt!! Lehet, hogy visszatér mert valami kopog az autó alatt!! Az autón a hátsó sérülés még mindig nincs kijavítva, így vette át az autót, és nem sikerült megjavítani még a mai napig!!"
NMLM111407;"2021. 11. 30.";'A9443';"Sikeres hívás, kérdõív kitöltve.";"Nagyon nehéz a bejutás, közlekedés a városba!!"
NMLZ117527;"2021. 11. 30.";'T2755';"Sikeres hívás, kérdõív kitöltve.";"Általánosságban korrektek voltak, elégedett volt!!"
NMBO090428;"2021. 11. 30.";'K4372';"Sikeres hívás, kérdõív kitöltve.";"Itt csak még felmérték, hogy milyen munka lesz!! "
NMBO089423;"2021. 11. 30.";'U0008';"Sikeres hívás, kérdõív kitöltve.";"Telefonon egyeztette egy idõpontot, és nem volt meg az idõpont, ezért másnap kellett visszamennie, mert nem lett beírva!!"
NMLZ117541;"2021. 11. 30.";'09172';"Nem szeretne nyilatkozni!";"Egy hölgy vette fel a telefont, és nincs ilyen típusú autója!!"
NMLZ117556;"2021. 11. 30.";'28041';"Sikeres hívás, kérdõív kitöltve.";"Majd januárban ismét jön vissza szervizre!!"
NMLM110954;"2021. 11. 30.";'16584';"Sikeres hívás, kérdõív kitöltve.";"Vendéglátásban dolgozik és nem szeretne kérni ismét éjszakai sms-eket, az ügyfél erre nyomatékosan megkért!!"
NMLM110578;"2021. 11. 30.";'B4166';"Nem szeretne nyilatkozni!";"Nem alkalmas neki az idõpont erre a hétre nagyon tele van!!"
NMLG032720;"2021. 11. 30.";'C1658';"Nem szeretne nyilatkozni!";"Ez a telefonszám 11.29. óta nem kapcsolható!"
NMLG032756;"2021. 11. 30.";'E5769';"Sikeres hívás, kérdõív kitöltve.";"Az elején volt egy félórás várakozás, ezt leszámítva rendben volt minden!!"
NMLG032759;"2021. 11. 30.";'E7070';"Sikeres hívás, kérdõív kitöltve.";"Elfelejtették a szerviz kulcsot ""kiütni""!!"
NMLG032731;"2021. 11. 30.";'E5881';"Nem szeretne nyilatkozni!";"A hölgy elmondta, hogy ezt a munkát a kollégák már régebben elvégezték, de minden rendben volt!"
NMLG032767;"2021. 11. 30.";'C1016';"Sikeres hívás, kérdõív kitöltve.";"Kétszer annyi ideig tartott, mint amennyit ígértek, de ezzel nem is lenne gond akkor mondják azt, hogy kétóra!!"
NMLG032716;"2021. 11. 30.";'E6393';"Nem szeretne nyilatkozni!";"Amikor legutóbb ott jártak akkor állítólag átírták a telefonszámot, mert ez nem jó! Most éppen nem tudja nekem megadni, mert építkezésen van és 20 méter magasságban van!!"
NMLG032682;"2021. 11. 30.";'C1301';"Sikeres hívás, kérdõív kitöltve.";"Annyival lehetne jobb, hogy ne 2 hétre elõre kapjon idõpontot!!"
NMLG032717;"2021. 11. 30.";'E7068';"Nem szeretne nyilatkozni!";"A feleség visszahívott, de nem Õ járt a szervizben, viszont a férje este 10-ig dolgozik, de azt elmondta, hogy ígértek neki kávét, de nem kapott, és sokáig kellett várnia!!"
NMLM109317;"2021. 11. 30.";'B4195';"Nem szeretne nyilatkozni!";"Az úr már nagyon sokszor elmondta, hogy ne hívjuk, mert Õ rendszeres jár hoz hozzánk autókat, vizsgáztatni, szervizre, stb.!!! Tilos Hívni!!"
NMLM111417;"2021. 11. 30.";'B4195';"Nem szeretne nyilatkozni!";"Az úr már nagyon sokszor elmondta, hogy ne hívjuk, mert Õ rendszeres jár hoz hozzánk autókat, vizsgáztatni, szervizre, stb.!!! Tilos Hívni!!"
NMLM111331;"2021. 11. 30.";'R1249';"Sikeres hívás, kérdõív kitöltve.";"Ez a szerviz nem volt olcsó!!"
NMBO092910;"2021. 11. 30.";'M1204';"Nem szeretne nyilatkozni!";"Itt vette nálunk újonnan ezt az autót 4 évvel ezelõtt. Mindig idehozta a szervizbe az autót, de minden egyes alkalommal más felvevõ volt! Most a 60 ezres szervizre kérte, hogy küldjenek emlékeztetõt, de amikor odament a szervizbe kiderült, hogy nem fél eg"
NMLZ116060;"2021. 11. 30.";'T2010';"Sikeres hívás, kérdõív kitöltve.";"Ezzel kapcsolatban már 11.03-án beszéltünk!!!"
NMBO092897;"2021. 11. 30.";'K0745';"Nem szeretne nyilatkozni!";"Nem Õ járt a szervizben, más járt ott, de nagyon sokat várt!!"
NMLM111319;"2021. 12. 01.";'66478';"Sikeres hívás, kérdõív kitöltve.";"korábbi szerviz alkalmával nem volt egyértelmû, hogy a hyundai munkafelvtelre kell mennie e a peugeot-val"
NMLM111559;"2021. 12. 01.";'T0314';"Sikeres hívás, kérdõív kitöltve.";"Az ügyfél elõre jelezte, hogy alul lóg egy lemez, de ezt nem csavarozták vissza, az ügyfél mutatta meg szerviz után, hol van a probléma, ezért még egy fél órát kellett várakoznia pluszban"
NMLM111040;"2021. 12. 01.";'65733';"Sikeres hívás, kérdõív kitöltve.";"többször jött már vissza az autóval, mert nem tudtuk megoldani a problémát, reméli, hogy most már jó lesz!"
NMLZ117566;"2021. 12. 01.";'65779';"Sikeres hívás, kérdõív kitöltve.";"még jön vissza, alkatrészre vár, amúgy minden rendben"
NMLZ117589;"2021. 12. 01.";'27683';"Sikeres hívás, kérdõív kitöltve.";"amikor nálunk jár, utána többször ad blue hibajelzése van, emiatt vissza fog jönni"
NMBO091766;"2021. 12. 01.";'U0184';"Sikeres hívás, kérdõív kitöltve.";"garanciális javításnál szeretett volna csereautót, de nem kapott"
NMBO092521;"2021. 12. 01.";'S0358';"Sikeres hívás, kérdõív kitöltve.";"2-3 óra helyett 6 órát tartott a szoftver frissítés egy technikai probléma miatt"
NMLZ115989;"2021. 12. 01.";'S9811';"Sikeres hívás, kérdõív kitöltve.";"a javítás számláját még nem kapta meg, várja"
NMLZ117059;"2021. 12. 01.";'T0006';"Sikeres hívás, kérdõív kitöltve.";"örült volna ha megkérdezték volna, van-e szüksége téli felkészítésre"
NMBO093115;"2021. 12. 02.";'U0184';"Sikeres hívás, kérdõív kitöltve.";"elõjegyzett idõpont pontos betartása,várnia kellett"
NMLM111519;"2021. 12. 02.";'B2862';"Sikeres hívás, kérdõív kitöltve.";"valamilyen közlekedési csat. lehetõség a BKV-hoz.nagyon kiesik a szerviz,pedig jó"
NMBO093030;"2021. 12. 02.";'S0158';"Nem szeretne nyilatkozni!";
NMBO092761;"2021. 12. 02.";'K2479';"Sikeres hívás, kérdõív kitöltve.";"káoszt érzett most, korábban elégedett volt, most több ember kereste, mindig mást mondtak neki."
NMLZ117254;"2021. 12. 02.";'66393';"Nem szeretne nyilatkozni!";
NMBO092846;"2021. 12. 02.";'S0132';"Sikeres hívás, kérdõív kitöltve.";"lassú és hosszú a szerviz és drága a szolgáltatás,azért is fizetett ami állitólag ingyen járt volna neki"
NMBO093068;"2021. 12. 02.";'S0132';"Nem szeretne nyilatkozni!";
NMBO093099;"2021. 12. 02.";'S0129';"Sikeres hívás, kérdõív kitöltve.";"a navigáció frissitése nagyon hosszú 5-6 óra"
NMBO093094;"2021. 12. 02.";'K5326';"Sikeres hívás, kérdõív kitöltve.";"az árakat hozzuk le a földre !!!"
NMLZ117406;"2021. 12. 02.";'T2736';"Nem szeretne nyilatkozni!";
NMLM110702;"2021. 12. 02.";'66260';"Nem szeretne nyilatkozni!";
NMLZ116686;"2021. 12. 02.";'T2651';"Nem szeretne nyilatkozni!";
NMBO091808;"2021. 12. 02.";'U0196';"Nem szeretne nyilatkozni!";
;"2021. 12. 03.";'2800';"Nem szeretne nyilatkozni!";"Ez nem tudom itt micsoda, és miért került bele??????"
NMLM109730;"2021. 12. 03.";'B0067';"Nem szeretne nyilatkozni!";"TILOS HÍVNI!!!!"
NMLM111619;"2021. 12. 03.";'B4817';"Nem szeretne nyilatkozni!";DOLGOZÓNK!!!!
NMLG032696;"2021. 12. 03.";'C0676';"Sikeres hívás, kérdõív kitöltve.";"Ismét nem mosták le az autóját!!"
NMBO093011;"2021. 12. 03.";'S0363';"Sikeres hívás, kérdõív kitöltve.";"A Peugeot- szalonba hiányolt egy asztalt ahová esetleg a lap-topját teszi, illetve be tudta volna dugni egy aljzatba!!"
NMLZ117668;"2021. 12. 03.";'T1952';"Sikeres hívás, kérdõív kitöltve.";"Többen is szóltak már, hogy egy vizes ballon vagy automata jó lenne, hogy ha lenne a várakozás idejére!!!"
NMLZ117664;"2021. 12. 03.";'T2771';"Sikeres hívás, kérdõív kitöltve.";"Lehetnénk kommunikatívabbak, és egy víz adagoló gép vagy automata jó lenne, mivel 7 és félórát várt, nem tudott elmenni, mert esett az esõ!! Ezeken bõven lehetne fejleszteni!!!"
NMLM111622;"2021. 12. 03.";'A1090';"Sikeres hívás, kérdõív kitöltve.";"Éppen nem mûködött a büfé, de a pénztáros hölgy kiszolgálta egy kávéval!!"
NMBO092896;"2021. 12. 03.";'K1113';"Nem szeretne nyilatkozni!";"Az úr még megy vissza a szervizbe, mert alkatrészre vár, habár azt ígérték neki, hogy 4 nap múlva szólnak, de még nem történt meg!!"
NMLZ116178;"2021. 12. 03.";'96718';"Sikeres hívás, kérdõív kitöltve.";"A hölgy írt egy emailt, Götz úrnak és nem tudja, hogy megkapta-e?! Az elvégzett munkával minden rendben volt, nagyon szép lett, de a munkafelvevõt nem szeretné értékelni(én írtam be)!! Az elején el kellett volna mondania a munkafelvevõnek, hogy nagyon magas az elavulás az autóra, mert most kifizetett 240 ezer forintot karácsony elõtt, ez nem valami jó!!!"
NMLZ117425;"2021. 12. 03.";'P8112';"Sikeres hívás, kérdõív kitöltve.";"Nem találták a gumikat, illetve gond volt az informatikával!!"
NMLZ117422;"2021. 12. 03.";'T2740';"Nem szeretne nyilatkozni!";"Már a 4. napja várja, hogy elküldjék neki az árajánlatot, akkumulátor cserére!! "
NMLZ117061;"2021. 12. 03.";'T2509';"Nem szeretne nyilatkozni!";"A hölgy visszahívott, de még sem nyilatkozott, mert onkológiára sietett!!"
NMLG032753;"2021. 12. 03.";'E6736';"Sikeres hívás, kérdõív kitöltve.";"Még amikor eljött a szervizbõl adódott valami kis probléma, de telefonált, visszament és megcsinálták!!!"
NMLM111347;"2021. 12. 03.";'B1549';"Nem szeretne nyilatkozni!";"Itt három emberrel beszéltem három telefonszámon, de egyik sem jó! Az elsõ a flottakezelõ száma, a második a kft. ügyeleti központ száma, a harmadik pedig neki nem volt ilyen autója sosem!!"
NMLZ117431;"2021. 12. 03.";'97900';"Nem szeretne nyilatkozni!";"Nem aktuális még, mert a kocsit nem vette át!!"
NMLZ117457;"2021. 12. 03.";'P2473';"Nem szeretne nyilatkozni!";"A hölgy azt mondta, hogy most nem ér rá és letette a telefont!!"
NMLZ117220;"2021. 12. 03.";'K4490';"Sikeres hívás, kérdõív kitöltve.";"Egy hónap várt erre a munkára alkatrész miatt!!"
NMLZ116618;"2021. 12. 03.";'S9124';"Sikeres hívás, kérdõív kitöltve.";"Az ügyféllel már 11.16-án beszéltem, akkor értékelt!!"
NMLG032770;"2021. 12. 03.";'A1860';"Sikeres hívás, kérdõív kitöltve.";"Sajnos nincs büfé, aki ott marad várakozni, jó lenne esetleg egy automata!!"
NMBO092938;"2021. 12. 03.";'K2813';"Nem szeretne nyilatkozni!";"Nem ér rá most, majd máskor valamikor!!!"
NMBO092932;"2021. 12. 03.";'J9787';"Sikeres hívás, kérdõív kitöltve.";"Egy másik ügye van folyamatban a szélvédõjével kapcsolatban, kicsit hosszúnak találja már ezt az idõt semmi visszajelzést nem kapott még!!!"
NMLM111426;"2021. 12. 03.";'Q2023';"Nem szeretne nyilatkozni!";"Volt némi probléma abból, hogy az egyik ügyintézõjüket más beosztásba rakta és errõl neki nem szólt senki!! Viszont utána a másik kolléga rendes volt, csak emiatt plusz egy órát várt!! Ez egy kis munka szervezés kérdése lett volna!! Kicsit tartózkodó most"
NMBO092930;"2021. 12. 03.";'K5514';"Sikeres hívás, kérdõív kitöltve.";"Komplett kereket szereltettek le, de komplett kereket is vitt!! A papírt amit kapott azon nem szerepelt az, hogy komplett kereket hagyott ott! Ez az egy kellemetlen dolog volt! Másnap visszament, és azt mondta a kolléga, hogy a polc száma számít!!"
NMLM111384;"2021. 12. 03.";'B5055';"Nem szeretne nyilatkozni!";"Ami nem tettszett neki, hogy három óráig ott kellett ülnie, de tegnap visszament és hamar végeztek!! Ennyit mondott el a hölgy és már sietett is, mert rendel!!"
NMLZ117485;"2021. 12. 03.";'T2747';"Nem szeretne nyilatkozni!";"Az úr azt mondta, hogy nem szeretne még egyszer értékelni, mert már kitöltötte online!!"
NMLZ116678;"2021. 12. 03.";'S9790';"Nem szeretne nyilatkozni!";"Két káresemény volt, és nem javították ki a hosszanti horpadást, visszavitte ez volt a múlt héten és telefont nem kapott. Tegnap ment be ismét a szervizbe, és már a harmadszorra megy be és szeretne már valami kárpótlást!! Az autó még mindig nincs kész nem"
NMLM110989;"2021. 12. 03.";'B6067';"Sikeres hívás, kérdõív kitöltve.";"A zugló szerviz az nagyon gáz!!"
NMLM111061;"2021. 12. 03.";'B1728';"Sikeres hívás, kérdõív kitöltve.";"Más kampány munka miatt megy vissza!!"
